runid,recall,precision,f-score
txt.0_ROUGE-3,0.01039,0.01886,0.0132
txt.100_ROUGE-3,0.00865,0.01103,0.00964
txt.101_ROUGE-3,0.01058,0.0132,0.01163
txt.102_ROUGE-3,0.01131,0.0138,0.0123
txt.103_ROUGE-3,0.01162,0.01499,0.01301
txt.104_ROUGE-3,0.01229,0.01553,0.01363
txt.105_ROUGE-3,0.01176,0.015,0.01307
txt.106_ROUGE-3,0.01075,0.01404,0.01207
txt.107_ROUGE-3,0.00788,0,0.01055
txt.108_ROUGE-3,0.01203,0.01618,0.01362
txt.109_ROUGE-3,0.01028,0.01384,0.01172
txt.10_ROUGE-3,0.00771,0.01492,0.01001
txt.110_ROUGE-3,0.00834,0.01065,0.00931
txt.111_ROUGE-3,0.00865,0.01128,0.00966
txt.112_ROUGE-3,0.008,0.00998,0.00881
txt.113_ROUGE-3,0.00979,0.01265,0.01096
txt.114_ROUGE-3,0.01135,0.01427,0.01251
txt.115_ROUGE-3,0.01071,0.01332,0.01178
txt.116_ROUGE-3,0.01049,0.01371,0.01176
txt.117_ROUGE-3,0.0119,0.01522,0.01321
txt.118_ROUGE-3,0.01073,0.01413,0.01212
txt.119_ROUGE-3,0.01099,0.01461,0.01243
txt.11_ROUGE-3,0.00822,0.01456,0.01036
txt.120_ROUGE-3,0.00903,0.01149,0.01003
txt.121_ROUGE-3,0.01085,0.0139,0.01214
txt.122_ROUGE-3,0.01039,0.01319,0.01158
txt.123_ROUGE-3,0.01061,0.01404,0.01199
txt.124_ROUGE-3,0.011,0.01401,0.01223
txt.125_ROUGE-3,0.01195,0.0149,0.01318
txt.126_ROUGE-3,0.01027,0.01292,0.01139
txt.127_ROUGE-3,0.00961,0.01212,0.01063
txt.128_ROUGE-3,0.01119,0.01479,0.01262
txt.129_ROUGE-3,0.01035,0.01372,0.01173
txt.12_ROUGE-3,0.00774,0.01417,0.00988
txt.130_ROUGE-3,0.01186,0.01481,0.01307
txt.131_ROUGE-3,0.0091,0.01138,0.01004
txt.132_ROUGE-3,0.01353,0.01692,0.01489
txt.133_ROUGE-3,0.01029,0.01296,0.0114
txt.134_ROUGE-3,0.01121,0.01458,0.01254
txt.135_ROUGE-3,0.00792,0.00977,0.00866
txt.136_ROUGE-3,0.00691,0.00853,0.00759
txt.137_ROUGE-3,0.00929,0.01164,0.01024
txt.138_ROUGE-3,0.00868,0.01151,0.00981
txt.139_ROUGE-3,0.00898,0.01124,0.0099
txt.13_ROUGE-3,0.00782,0.01469,0.01005
txt.140_ROUGE-3,0.01126,0.01393,0.01237
txt.141_ROUGE-3,0.01089,0.01336,0.0119
txt.142_ROUGE-3,0.00885,0.01106,0.00972
txt.143_ROUGE-3,0.00818,0.01053,0.00906
txt.144_ROUGE-3,0.01095,0.01322,0.01186
txt.145_ROUGE-3,0.01239,0.01488,0.01333
txt.146_ROUGE-3,0.0093,0.0113,0.01012
txt.147_ROUGE-3,0.01058,0.01294,0.0115
txt.148_ROUGE-3,0.01076,0.01375,0.01193
txt.149_ROUGE-3,0.01023,0.01252,0.01115
txt.14_ROUGE-3,0.00714,0.01312,0.00912
txt.150_ROUGE-3,0.01095,0.01335,0.01194
txt.151_ROUGE-3,0.01244,0.01585,0.01377
txt.152_ROUGE-3,0.00894,0.01072,0.00967
txt.153_ROUGE-3,0.01016,0.01364,0.01153
txt.154_ROUGE-3,0.01154,0.01496,0.01291
txt.155_ROUGE-3,0.00792,0.00913,0.00843
txt.156_ROUGE-3,0.00878,0.01069,0.00958
txt.157_ROUGE-3,0.01125,0.01312,0.01203
txt.158_ROUGE-3,0.00775,0,0
txt.159_ROUGE-3,0.0109,0.01331,0.01187
txt.15_ROUGE-3,0.01042,0.01751,0.0129
txt.160_ROUGE-3,0.01258,0.01521,0.01372
txt.161_ROUGE-3,0.0115,0.01298,0.01208
txt.162_ROUGE-3,0.01155,0.01387,0.01249
txt.163_ROUGE-3,0.01139,0.01358,0.01231
txt.164_ROUGE-3,0.01164,0.01378,0.01252
txt.165_ROUGE-3,0.0153,0.01635,0.01577
txt.166_ROUGE-3,0.01356,0.01479,0.0141
txt.167_ROUGE-3,0.01365,0.01531,0.0144
txt.168_ROUGE-3,0.01477,0.01594,0.01529
txt.169_ROUGE-3,0.01454,0.0156,0.01503
txt.16_ROUGE-3,0.00875,0.01672,0.01131
txt.170_ROUGE-3,0.01582,0.01722,0.01645
txt.171_ROUGE-3,0.01387,0.01482,0.01428
txt.172_ROUGE-3,0.01527,0.01589,0.01553
txt.173_ROUGE-3,0.0141,0.01512,0.01455
txt.174_ROUGE-3,0.01267,0.0136,0.01309
txt.175_ROUGE-3,0.01672,0.01818,0.01738
txt.176_ROUGE-3,0.0139,0.01536,0.01455
txt.177_ROUGE-3,0.01257,0.01412,0.01326
txt.178_ROUGE-3,0.01308,0.0145,0.01371
txt.179_ROUGE-3,0.01489,0.01672,0.01568
txt.180_ROUGE-3,0.01533,0.01643,0.01583
txt.181_ROUGE-3,0.0137,0.01477,0.01418
txt.182_ROUGE-3,0.01358,0.01503,0.01421
txt.183_ROUGE-3,0.0128,0.01406,0.01335
txt.184_ROUGE-3,0.01588,0.01717,0.01647
txt.185_ROUGE-3,0.01329,0.01427,0.01372
txt.186_ROUGE-3,0,0,0
txt.187_ROUGE-3,0.01154,0.01293,0.01216
txt.188_ROUGE-3,0.01374,0.01514,0.01437
txt.189_ROUGE-3,0.01008,0.01117,0.01055
txt.18_ROUGE-3,0.01061,0.01791,0.0131
txt.190_ROUGE-3,0.01135,0.01255,0.01189
txt.191_ROUGE-3,0.01213,0.01365,0.0128
txt.192_ROUGE-3,0.01294,0.01405,0.01343
txt.193_ROUGE-3,0.01088,0.01188,0.01132
txt.194_ROUGE-3,0.00975,0.01048,0.01007
txt.195_ROUGE-3,0.0129,0.01438,0.01354
txt.196_ROUGE-3,0.01168,0.01285,0.0122
txt.197_ROUGE-3,0.01164,0.01287,0.01219
txt.198_ROUGE-3,0.01165,0.01296,0.01223
txt.199_ROUGE-3,0.01215,0.01364,0.01279
txt.19_ROUGE-3,0.0098,0.01558,0.01174
txt.1_ROUGE-3,0.01305,0.02234,0.01614
txt.200_ROUGE-3,0.01452,0.01663,0.01543
txt.201_ROUGE-3,0.0136,0.01515,0.01429
txt.202_ROUGE-3,0.01284,0.01439,0.01353
txt.203_ROUGE-3,0.01116,0.01244,0.01168
txt.204_ROUGE-3,0.01045,0.01172,0.01099
txt.205_ROUGE-3,0.00973,0.01074,0.01019
txt.206_ROUGE-3,0.01016,0.01173,0.01083
txt.207_ROUGE-3,0.0119,0.01322,0.01246
txt.208_ROUGE-3,0.01066,0.01175,0.01116
txt.209_ROUGE-3,0.01111,0.01255,0.01176
txt.20_ROUGE-3,0.01031,0.01707,0.01257
txt.210_ROUGE-3,0.01278,0.01395,0.01329
txt.211_ROUGE-3,0.01421,0.01589,0.01495
txt.212_ROUGE-3,0.01598,0.01847,0.01709
txt.213_ROUGE-3,0.01347,0.01517,0.01422
txt.214_ROUGE-3,0.01405,0.01519,0.01454
txt.215_ROUGE-3,0,0,0
txt.216_ROUGE-3,0.01603,0.01752,0.0167
txt.217_ROUGE-3,0.01468,0.01589,0.01521
txt.218_ROUGE-3,0.01389,0.01603,0.01482
txt.219_ROUGE-3,0.01385,0.0148,0.01428
txt.21_ROUGE-3,0.00935,0.01646,0.01163
txt.220_ROUGE-3,0.01173,0.01277,0.01221
txt.221_ROUGE-3,0.01305,0.01431,0.01363
txt.222_ROUGE-3,0.01256,0.01401,0.01322
txt.223_ROUGE-3,0.01544,0.01645,0.01591
txt.224_ROUGE-3,0.01244,0.01313,0.01275
txt.225_ROUGE-3,0.01449,0.01686,0.01554
txt.226_ROUGE-3,0.01344,0.01456,0.01396
txt.227_ROUGE-3,0.0155,0.01696,0.01617
txt.228_ROUGE-3,0.01326,0.01478,0.01394
txt.229_ROUGE-3,0.01492,0.01672,0.01572
txt.22_ROUGE-3,0.01283,0.02055,0.01558
txt.230_ROUGE-3,0.0139,0.01495,0.01438
txt.231_ROUGE-3,0.01416,0.01569,0.01484
txt.233_ROUGE-3,0.01712,0.01868,0.01782
txt.234_ROUGE-3,0.01469,0.01577,0.01517
txt.235_ROUGE-3,0.01214,0.01363,0.01279
txt.236_ROUGE-3,0.01331,0.0146,0
txt.237_ROUGE-3,0.01233,0.0139,0.01303
txt.238_ROUGE-3,0.01252,0.01407,0.01321
txt.239_ROUGE-3,0.01191,0.01373,0.0127
txt.23_ROUGE-3,0.01071,0.01814,0.01315
txt.240_ROUGE-3,0.01192,0.01361,0.01269
txt.241_ROUGE-3,0.01254,0.01397,0.01319
txt.242_ROUGE-3,0.01011,0.01124,0.0106
txt.243_ROUGE-3,0.01193,0.01354,0.01263
txt.244_ROUGE-3,0.01328,0.0149,0.014
txt.245_ROUGE-3,0.01103,0.01267,0.01176
txt.246_ROUGE-3,0.0111,0.01232,0.01165
txt.247_ROUGE-3,0.01184,0.01336,0.01251
txt.248_ROUGE-3,0.01025,0.01092,0.01055
txt.249_ROUGE-3,0.01313,0.01501,0.01396
txt.24_ROUGE-3,0.00657,0.01243,0.00846
txt.250_ROUGE-3,0.01012,0.0111,0.01057
txt.251_ROUGE-3,0.01265,0.01467,0.01353
txt.252_ROUGE-3,0.01241,0.014,0.01311
txt.253_ROUGE-3,0.00901,0.01031,0.00959
txt.254_ROUGE-3,0.01268,0.0143,0.01341
txt.255_ROUGE-3,0.01065,0.01227,0.01137
txt.256_ROUGE-3,0.00743,0.00861,0.00794
txt.257_ROUGE-3,0.01088,0.01238,0.01156
txt.258_ROUGE-3,0.01209,0.0131,0.01253
txt.259_ROUGE-3,0.0113,0.01304,0.01204
txt.25_ROUGE-3,0.00603,0.0107,0.00758
txt.260_ROUGE-3,0.01002,0.01082,0.01036
txt.261_ROUGE-3,0.01102,0.01255,0.01169
txt.262_ROUGE-3,0.00787,0.00886,0.0083
txt.263_ROUGE-3,0.00997,0.01132,0.01055
txt.264_ROUGE-3,0.00922,0.01015,0.00965
txt.265_ROUGE-3,0.00827,0.00985,0.00896
txt.266_ROUGE-3,0.01289,0.01413,0.01342
txt.267_ROUGE-3,0.01164,0.01315,0.01227
txt.268_ROUGE-3,0.00987,0.01082,0.01029
txt.269_ROUGE-3,0.01166,0.01228,0.01194
txt.26_ROUGE-3,0.00638,0.01223,0.0082
txt.270_ROUGE-3,0.00933,0.00996,0.00961
txt.271_ROUGE-3,0.00974,0.0115,0.01049
txt.272_ROUGE-3,0.00867,0.00952,0.00904
txt.273_ROUGE-3,0.01024,0.0113,0.01071
txt.274_ROUGE-3,0.00785,0.00904,0.00837
txt.275_ROUGE-3,0.01047,0.01214,0.01118
txt.276_ROUGE-3,0.01003,0.01123,0.01056
txt.277_ROUGE-3,0.0058,0.00692,0.00629
txt.278_ROUGE-3,0.00706,0.0084,0.00764
txt.279_ROUGE-3,0.00821,0.00933,0.00871
txt.27_ROUGE-3,0.00602,0.01043,0.00756
txt.280_ROUGE-3,0.00633,0.00753,0.00685
txt.281_ROUGE-3,0.00793,0.01052,0.00894
txt.282_ROUGE-3,0.00874,0.01072,0.0096
txt.283_ROUGE-3,0.01061,0.01279,0.01153
txt.284_ROUGE-3,0.00694,0.00875,0.00768
txt.285_ROUGE-3,0.01045,0.01235,0.01127
txt.286_ROUGE-3,0.0131,0.01507,0.01396
txt.287_ROUGE-3,0.01049,0.01282,0.01144
txt.288_ROUGE-3,0.01149,0.01286,0.01212
txt.289_ROUGE-3,0.00845,0.01,0.00914
txt.28_ROUGE-3,0.00952,0.01602,0.0118
txt.290_ROUGE-3,0.00999,0.01153,0.01066
txt.291_ROUGE-3,0.00716,0.0084,0.00768
txt.292_ROUGE-3,0.01084,0.0132,0.01184
txt.293_ROUGE-3,0.00849,0.01041,0.00925
txt.294_ROUGE-3,0.01016,0.0118,0.01089
txt.295_ROUGE-3,0.00797,0.00935,0.00858
txt.296_ROUGE-3,0.01031,0.01265,0.01128
txt.297_ROUGE-3,0.00997,0.01198,0.01086
txt.298_ROUGE-3,0.0059,0.00718,0.00645
txt.299_ROUGE-3,0.00814,0.00989,0.0089
txt.29_ROUGE-3,0.00693,0.01321,0.00885
txt.2_ROUGE-3,0.00937,0.0182,0.01214
txt.300_ROUGE-3,0.00816,0.00995,0.00894
txt.301_ROUGE-3,0.00772,0.0087,0.00817
txt.302_ROUGE-3,0.0069,0.00812,0.00744
txt.303_ROUGE-3,0.00797,0.00907,0.00847
txt.304_ROUGE-3,0.00854,0.00913,0.00881
txt.305_ROUGE-3,0.00809,0.00958,0.00876
txt.306_ROUGE-3,0.00718,0.00795,0.00753
txt.307_ROUGE-3,0.0073,0.00743,0.00735
txt.308_ROUGE-3,0.0092,0.01062,0.00984
txt.309_ROUGE-3,0.00617,0.0068,0.00645
txt.30_ROUGE-3,0.00727,0.01388,0.00938
txt.310_ROUGE-3,0.0054,0.00594,0.00564
txt.311_ROUGE-3,0.00847,0.00894,0.00867
txt.312_ROUGE-3,0.00654,0.00718,0.00681
txt.313_ROUGE-3,0.00838,0.00899,0.00864
txt.314_ROUGE-3,0.00696,0.00726,0.00709
txt.315_ROUGE-3,0.00916,0.00962,0.00936
txt.316_ROUGE-3,0.01034,0.01168,0.01086
txt.317_ROUGE-3,0.00957,0.01038,0.00992
txt.318_ROUGE-3,0.01072,0.01194,0.01124
txt.319_ROUGE-3,0.01127,0.0127,0.01186
txt.31_ROUGE-3,0.00756,0.01418,0.00971
txt.320_ROUGE-3,0.00855,0.00923,0.00884
txt.321_ROUGE-3,0.01022,0.01118,0.01062
txt.322_ROUGE-3,0.01415,0.01531,0.01464
txt.323_ROUGE-3,0.0097,0.01035,0
txt.324_ROUGE-3,0.0108,0.01178,0.01125
txt.325_ROUGE-3,0.00797,0.00938,0.00859
txt.326_ROUGE-3,0.00917,0.01004,0.00958
txt.327_ROUGE-3,0.00478,0.00499,0.00488
txt.328_ROUGE-3,0.00917,0.00986,0.00949
txt.329_ROUGE-3,0.00785,0.00877,0.00827
txt.32_ROUGE-3,0.0067,0.01228,0.00862
txt.330_ROUGE-3,0.00851,0.00935,0.00889
txt.331_ROUGE-3,0,0,0
txt.332_ROUGE-3,0.00664,0.0074,0.00695
txt.333_ROUGE-3,0.00832,0.00902,0.00864
txt.334_ROUGE-3,0.00888,0.01006,0.00939
txt.335_ROUGE-3,0.00897,0.01013,0.00949
txt.336_ROUGE-3,0.00957,0.01095,0.01015
txt.337_ROUGE-3,0.01101,0.01165,0.01129
txt.338_ROUGE-3,0.00498,0.00598,0.0054
txt.339_ROUGE-3,0.0043,0.00514,0.00467
txt.33_ROUGE-3,0.00974,0.01637,0.01209
txt.340_ROUGE-3,0.00919,0.00985,0.00948
txt.341_ROUGE-3,0.00517,0.00617,0.00561
txt.342_ROUGE-3,0.01065,0.01191,0.0112
txt.343_ROUGE-3,0.00519,0.00596,0.00553
txt.344_ROUGE-3,0.00999,0.01069,0.01031
txt.345_ROUGE-3,0.00613,0.00674,0.00641
txt.346_ROUGE-3,0.00908,0.00957,0.00929
txt.347_ROUGE-3,0.00511,0.00521,0.00515
txt.348_ROUGE-3,0.00734,0.00801,0.00764
txt.349_ROUGE-3,0.00305,0.00317,0.00309
txt.34_ROUGE-3,0.00772,0.0158,0.01025
txt.350_ROUGE-3,0.00748,0.00799,0.00771
txt.351_ROUGE-3,0.0064,0.00706,0.0067
txt.352_ROUGE-3,0.0059,0.00631,0.00608
txt.353_ROUGE-3,0.00797,0.0084,0.00817
txt.354_ROUGE-3,0.00752,0.00827,0.00786
txt.355_ROUGE-3,0.00493,0.00529,0.00509
txt.356_ROUGE-3,0.00911,0.01042,0.00966
txt.357_ROUGE-3,0.00822,0.00969,0.0088
txt.358_ROUGE-3,0.008,0.01017,0.00886
txt.359_ROUGE-3,0.01149,0.01217,0.01178
txt.35_ROUGE-3,0.00649,0.01207,0.00832
txt.360_ROUGE-3,0.00763,0.00865,0.00808
txt.361_ROUGE-3,0.01076,0.01174,0.01115
txt.362_ROUGE-3,0.01077,0.01157,0.01113
txt.363_ROUGE-3,0.00874,0.00984,0.00922
txt.364_ROUGE-3,0.00966,0.01083,0.01014
txt.365_ROUGE-3,0.00831,0.00921,0.00872
txt.366_ROUGE-3,0.00539,0.00582,0.0056
txt.367_ROUGE-3,0.00471,0.00481,0.00475
txt.368_ROUGE-3,0.00423,0.00438,0.0043
txt.369_ROUGE-3,0.00338,0.00371,0.00354
txt.36_ROUGE-3,0.00594,0.01052,0.00751
txt.370_ROUGE-3,0.0043,0.00421,0.00425
